City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
312,kralendijk,8,BQ,1539104100,66,12.15,-68.27,89.6,12.75
313,tsiroanomandidy,76,MG,1539108281,75,-18.77,46.05,66.21,4.12
314,geraldton,90,CA,1539104400,93,49.72,-86.95,35.6,6.93
315,kapit,32,MY,1539108281,98,2.02,112.94,72.24,2.06
316,pacific grove,90,US,1539106500,77,36.62,-121.92,60.8,3.29
317,vao,88,EE,1539108281,92,59.1,26.19,51.36,15.41
318,capaci,0,IT,1539105600,73,38.17,13.24,71.6,6.93
319,lapeer,75,US,1539106500,62,43.05,-83.32,85.28,9.17
320,panzhihua,92,CN,1539108281,100,26.59,101.72,53.07,2.39
321,upington,0,ZA,1539104400,10,-28.46,21.24,87.8,6.93
322,ust-omchug,80,RU,1539108282,71,61.13,149.63,11.04,2.62
323,rumoi,24,JP,1539108282,84,43.93,141.67,48.21,5.12
324,champua,36,IN,1539108282,56,22.04,85.66,74.31,5.23
325,provideniya,92,RU,1539108282,100,64.42,-173.23,44.97,29.01
326,faya,0,SA,1539104400,43,18.39,42.45,73.4,3.36
327,sambava,76,MG,1539108283,100,-14.27,50.17,76.38,21.85
328,kawalu,44,ID,1539108283,99,-7.38,108.21,65.13,1.28
329,voh,36,NC,1539108283,100,-20.95,164.69,71.43,5.91
330,kazanskaya,0,RU,1539108283,63,45.41,40.44,63.69,12.62
331,xichang,92,CN,1539108283,100,27.88,102.25,43.71,1.83
332,tabuk,88,PH,1539108283,99,17.41,121.44,69.18,1.83
333,kidal,0,ML,1539108283,21,18.44,1.41,88.71,2.84
334,belaya gora,0,RU,1539108284,78,68.54,146.19,7.26,5.01
335,los llanos de aridane,40,ES,1539106200,73,28.66,-17.92,77.0,6.93
336,aswan,0,EG,1539104400,18,24.09,32.9,89.6,9.17
337,semey,0,KZ,1539108284,81,50.41,80.25,41.01,6.24
338,weligama,92,LK,1539108284,100,5.97,80.42,75.3,9.04
339,zhangye,24,CN,1539108284,44,38.94,100.46,32.82,6.24
340,coihaique,75,CL,1539104400,45,-45.58,-72.07,48.2,8.05
341,kholmogory,75,RU,1539106200,93,64.23,41.65,44.6,8.95
342,maputo,20,MZ,1539104400,73,-25.97,32.57,73.4,11.41
343,gat,40,SN,1539104400,59,14.69,-16.54,95.0,10.04
344,kungurtug,8,RU,1539108285,77,50.6,97.53,18.15,2.39
345,garden city,90,US,1539107760,87,40.73,-73.63,77.0,6.93
346,cherskiy,12,RU,1539108286,98,68.75,161.3,19.86,2.33
347,corinto,12,BR,1539108286,35,-18.36,-44.46,94.2,5.86
348,batagay-alyta,92,RU,1539108286,91,67.8,130.41,17.16,3.0
349,ormara,0,PK,1539108286,64,25.21,64.64,81.33,10.04
350,harper,75,US,1539107700,93,30.3,-99.24,66.02,8.05
351,pemba,0,MZ,1539108286,97,-12.97,40.52,79.71,12.95
352,ciudad bolivar,0,VE,1539108286,43,8.12,-63.55,96.54,10.11
